p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
2	975	1.892143808	2.744383842	9	5.638888889	0.976182411	252	1	751	11	500	751	0.1682765	0.129380535	115	137	51.4995658	45.67937773	4.690351789	1.179033873	4.154761905	0.886985687	8.583260967
2	970	1.985695709	2.897656704	8	5.655555556	0.990635162	270	1	769	11	500	769	0.170020822	0.127393199	141	129	51.74200056	45.81745006	4.027059083	1.344560991	4.185185185	0.885498233	10.34840011
2	966	1.857142857	2.973538212	8	5.276752768	0.872379666	271	1	770	10	500	770	0.149225683	0.113814321	142	129	57.85049221	52.4673699	2.98452381	1.08748065	3.745387454	0.906947684	14.46262305
2	984	1.896103896	2.597623367	8	5.387453875	0.929860012	271	1	770	10	500	770	0.153632812	0.118752548	125	146	44.90931304	39.10763431	3.965906695	1.215710656	3.446494465	0.870813461	11.22732826
2	978	1.815718157	3.09841678	8	5.606694561	1.064900822	239	1	738	12	500	738	0.159646832	0.121372615	149	90	63.7238459	57.84032288	4.610963339	1.591600836	4.581589958	0.907671564	15.93096147
2	979	1.793923382	3.438428423	8	5.263565891	0.931942872	258	2	757	9	500	757	0.141031785	0.110105217	156	102	79.15882061	73.7270892	3.358282577	0.99411392	3.484496124	0.931381855	19.78970515
2	962	1.77303989	3.094022186	9	5.653508772	1.087462831	228	1	727	11	500	727	0.176416155	0.131737473	132	96	74.98775324	69.57402751	3.47842523	1.124850751	3.951754386	0.927805202	18.74693831
2	964	1.912303665	3.310526671	9	5.513207547	1.057237007	265	1	764	9	500	764	0.155221055	0.118935757	151	114	74.60668772	69.16523482	2.804766397	1.101198956	3.577358491	0.92706481	18.65167193
2	979	1.978233035	3.017369682	10	5.478723404	1.062534673	282	1	781	11	500	781	0.165597696	0.123662524	130	152	58.7949585	53.05253015	3.910287909	1.200672091	3.964539007	0.90233128	14.69873962
2	979	2.017521902	3.263127851	9	5.373333333	0.938414739	300	1	799	10	500	799	0.147371988	0.114810309	164	136	65.76497803	60.44592884	3.23631746	1.154965706	3.68	0.919120338	16.44124451
2	986	2	2.908838853	8	5.44137931	0.858031927	290	1	789	11	500	789	0.164860379	0.128254758	150	140	61.83462784	56.45124499	3.929466338	1.101635183	3.624137931	0.912939027	15.45865696
2	983	1.916985951	3.277619469	9	5.285211268	1.006839091	284	1	783	10	500	783	0.134597287	0.104018348	177	107	60.0479119	54.77446394	3.472845406	1.027302732	3.73943662	0.912179328	15.01197798
2	969	1.961340206	3.148973038	8	5.494584838	1.039372689	277	1	776	11	500	776	0.157771832	0.120656537	149	128	65.15477749	59.7359614	3.975975589	1.206532124	3.981949458	0.916831638	10.85912958
2	977	1.945595855	3.98112695	10	5.501831502	1.093184152	273	1	772	10	500	772	0.133759056	0.103941559	206	67	94.62056981	89.09218404	3.243367347	1.037626232	3.608058608	0.941573108	23.65514245
2	981	1.884665793	3.08334438	8	5.446969697	0.983302983	264	1	763	10	500	763	0.1634533	0.125411922	139	125	64.06612096	58.24897433	4.11773539	1.236014819	3.893939394	0.909200892	10.67768683
2	986	1.889873418	3.206681906	8	5.130584192	0.921372427	291	1	790	9	500	790	0.134098357	0.103810842	158	133	54.76960928	49.50129804	3.145896744	0.933580972	3.525773196	0.903809589	13.69240232
