p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
0.1	12547	3.033404407	1.601223323	6	4.700440529	0.575299026	908	1	1407	85	500	1407	0.105051907	0.085419658	599	309	23.92747792	18.83898493	37.45389134	23.11482616	7.385462555	0.787336843	5.981869479
0.1	12456	3.05	1.686183349	6	4.73917869	0.534811461	901	1	1400	86	500	1400	0.113305896	0.092488453	594	307	23.34798653	18.58224557	39.33512764	23.98139201	7.839067703	0.795882144	5.836996632
0.1	12398	3.082556591	1.706836528	6	4.616151545	0.555241807	1003	1	1502	79	500	1502	0.09213766	0.07590087	692	311	26.54254409	21.6836775	37.63022599	21.9578261	7.393818544	0.816940435	6.635636022
0.1	12481	3.076079507	1.705644215	6	4.675	0.532877409	960	1	1459	86	500	1459	0.103101879	0.084926708	654	306	27.01976519	22.27503398	40.89743056	23.01409893	8.532291667	0.824397763	5.403953038
0.1	12534	3.007919366	1.632312508	7	4.694382022	0.541400504	890	1	1389	84	500	1389	0.107044552	0.087359061	575	315	22.60431758	17.6886893	40.09785982	25.50009014	7.046067416	0.782535869	4.520863517
0.1	12291	3.093539704	1.660238429	6	4.657548126	0.515466233	987	1	1486	81	500	1486	0.102031115	0.084040867	679	308	24.40965374	19.66315554	37.54436001	21.21406162	7.730496454	0.805548319	4.881930747
0.1	12511	3.020625889	1.633225837	7	4.68246968	0.544139133	907	1	1406	91	500	1406	0.103528175	0.085108926	611	296	21.80321893	16.93948665	43.96919725	25.67898008	7.863285557	0.776925953	5.450804732
0.1	12403	3.038598999	1.593391385	6	4.723333333	0.531360936	900	1	1399	89	500	1399	0.111690983	0.090988653	579	321	23.81315471	18.90956695	40.04668519	23.96707399	8.034444444	0.794080717	5.953288677
0.1	12355	3.086565097	1.61797798	7	4.716402116	0.553961937	945	1	1444	85	500	1444	0.108177615	0.08853886	645	300	22.05612346	17.26932375	40.26152431	20.81838073	7.934391534	0.782971848	4.411224692
0.1	12369	3.096602265	1.628974956	6	4.638722555	0.535391704	1002	1	1501	82	500	1501	0.098100626	0.080801051	695	307	24.0470266	19.34665465	44.62303726	21.44775241	7.893213573	0.804534172	4.809405321
0.1	12602	3.00942029	1.56799455	7	4.713961407	0.581514593	881	1	1380	83	500	1380	0.1076952	0.087449052	588	293	22.30989041	17.55396174	37.90561051	22.84672447	6.847900114	0.786824203	5.577472602
0.1	12596	3.054747055	1.571725877	7	4.669491525	0.553189285	944	1	1443	89	500		0.102201322		626	318	22.57456042		36.38432203	24.37516514	8.081567797		5.643640104
0.1	12352	3.073611111	1.654160836	7	4.703506908	0.553491888	941	1	1440	78	500		0.105291897		628	313	24.64072454		35.99690299	20.42493395	7.312433581		6.160181134
0.1	12448	3.046896552	1.688666283	6	4.645636172	0.530439762	951	1	1450	87	500		0.098935566		648	303	23.65897402		41.23264984	23.9467568	8.245005258		5.914743506
0.1	12446	3.066894198	1.638580166	6	4.651138716	0.543580785	966	1	1465	76	500		0.098181903		653	313	25.51813198		40.73338509	22.16719571	7.350931677		5.103626397
0.1	12517	3.069320522	1.657742929	7	4.668058455	0.580154206	958	1	1457	85	500		0.099922124		640	318	24.83249948		40.75309921	24.06453664	7.551148225		4.966499896
0.1	12470	3.036749117	1.619686539	7	4.691048035	0.552452446	916	1	1415	81	500		0.105421095		597	319	23.64396047		38.25387555	21.48504927	7.070960699		5.910990117
0.1	12354	3.073946095	1.624596652	7	4.691983122	0.541582179	948	1	1447	85	500		0.105324354		632	316	22.92026251		42.29893761	21.02636024	7.754219409		5.730065629
0.1	12443	3.083113456	1.652839506	6	4.595870206	0.559974939	1017	1	1516	82	500		0.08939284		708	309	23.79840049		38.90481809	21.29475299	7.362831858		5.949600123
0.1	12615	3.038650738	1.648883054	6	4.67965368	0.551638144	924	1	1423	83	500		0.103017818		609	315	24.12792161		36.54292929	22.0158387	7.325757576		4.825584322
0.2	24940	2.560798548	1.365715311	10	4.679933665	0.685344326	603	2	1102	155	500	1102	0.096466155	0.079044271	437	166	20.23457347	14.67001247	75.12623983	41.80034292	5.701492537	0.724997366	5.058643367
0.2	24846	2.579136691	1.394050814	7	4.67862969	0.630505182	613	1	1112	139	500	1112	0.095965156	0.078551603	435	178	21.08208959	16.13080138	70.21585101	38.38324023	5.032626427	0.765142436	5.270522397
0.2	24947	2.663256607	1.383123946	7	4.635014837	0.596992524	674	1	1173	150	500	1173	0.094497321	0.077461458	455	219	20.17346844	15.48252998	76.42086689	43.49003042	6.169139466	0.767469908	5.043367111
